,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
53,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,2.5,Y,GANNSF1,55,50,1000,Gannawarra ,-35.7169085,144.1460363,1,20.08,KERANG 220 kV,Poor,20.08,KERANG 220 kV,Poor,20.08,KERANG 220 kV,High
54,Goonumbla Asset Co Pty Ltd as the Trustee for Goonumbla Asset Trust ,"Goonumbla Solar Farm, Units 1-31",NSW1,Generator,Market,     Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-31,2.25,Y,GOONSF1,85,69,13,Goonumbla ,-32.945,148.0547222,1,17.64,PARKES 132 kV,Poor,17.64,PARKES 132 kV,Poor,17.64,PARKES 132 kV,Poor
55,Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,3.55,Y,GRANWF1,110,111,22,Granville Harbour ,-41.8076932,145.035148,1,1.61,GRANVILLE HARBOUR 220 kV,Poor,1.61,GRANVILLE HARBOUR 220 kV,Poor,1.61,GRANVILLE HARBOUR 220 kV,Poor
56,Griffith Solar Farm Pty Ltd,Griffith Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,2.27,Y,GRIFSF1,27.2,27,1,Griffith ,-34.2870772,146.0551022,1,5.91,GRIFFITH 132 kV,Very poor,5.91,GRIFFITH 132 kV,Neutral,5.91,GRIFFITH 132 kV,Neutral
57,New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Apr,2.5,Y,GULLRSF1,10,10,10,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
58,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-17,1.461,N,GULLRWF1,275.5,268,55,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
59,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,18-73,2.435,N,GULLRWF1,-,-,-,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
60,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,74-104,3.451,Y,GULLRWF2,-,-,-,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
61,Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,1.5,N,GUNNING1,46.5,47,47,Gunning ,-34.7831232,149.2659887,1,25.71,GULLEN RANGE 330 kV,High,25.71,GULLEN RANGE 330 kV,High,25.71,GULLEN RANGE 330 kV,High
62,AGL SA Generation Pty Limited,Hallett 1 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-45,2.1,N,HALLWF1,94.5,95,30,Hallett 1 ,-33.3790238,138.9177782,1,11.8,WILLOGOLECHE 275 kV,Very poor,11.8,WILLOGOLECHE 275 kV,Poor,11.8,WILLOGOLECHE 275 kV,Poor
63,AGL SA Generation Pty Limited,Hallett 2 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-34,2.1,N,HALLWF2,71.4,71,30,Hallett 2 ,-33.4118964,138.8936983,1,7.88,WILLOGOLECHE 275 kV,Very poor,7.88,WILLOGOLECHE 275 kV,Poor,7.88,WILLOGOLECHE 275 kV,Poor
64,Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,,2.5,Y,HAMISF1,57.5,56,20,Hamilton ,-37.7435744,142.0243127,1,50.35,TARRONE 500 kV,Very poor,50.35,TARRONE 500 kV,Very poor,50.35,TARRONE 500 kV,Very poor
65,Pacific Hydro Haughton Solar Farm Pty Ltd,Haughton Solar Farm Stage 1,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-81,1.23,Y,HAUGHT11,132,100,20,Haughton ,-35.2395776,150.1720982,1,59.25,CAPITAL 330 kV,High,59.25,CAPITAL 330 kV,High,59.25,CAPITAL 330 kV,High
66,Hayman Solar Farm Pty Ltd ATF the Hayman Solar Farm Trust ,Hayman Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-21,2.75,Y,HAYMSF1,57.75,50,165,Hayman ,-20.0502875,148.8884541,1,124.04,PIONEER VALLEY 132 kV,Neutral,124.04,PIONEER VALLEY 132 kV,Neutral,124.04,PIONEER VALLEY 132 kV,Neutral
67,Mt Mercer Windfarm Pty Ltd,Hepburn Community Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1 & 2,2.05,N,HEPWIND1,4.1,4,0,Hepburn Community ,-37.35090835,144.1514661,1,33.77,BALLARAT 220 kV,Very poor,33.77,BALLARAT 220 kV,Very poor,33.77,BALLARAT 220 kV,Very poor
68,HWF1 Pty Ltd,Hornsdale Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF1,102.4,102,50,Hornsdale ,-33.03989425,138.5254303,1,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor
69,HWF2 Pty Ltd,Hornsdale Wind Farm 2,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF2,102.4,102,50,Hornsdale ,-33.03989425,138.5254303,1,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor
70,HWF3 Pty Ltd,Hornsdale Wind Farm 3,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,3.2,Y,HDWF3,112,109,50,Hornsdale ,-33.03989425,138.5254303,1,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor
71,Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Hughenden Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-18,1.165,Y,HUGSF1,20.97,18,60,Hughenden ,-20.8422448,144.2002892,1,1.95,CAPE RIVER 66 kV,Very poor,1.95,CAPE RIVER 66 kV,Very poor,1.95,CAPE RIVER 66 kV,Very poor
72,Iraak Sun Farm Pty Ltd,Karadoc Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-38,2.368,Y,KARSF1,104,90,18,Karadoc ,-34.3406945,142.2835137,1,6.78,RED CLIFFS 220 kV,Very poor,6.78,RED CLIFFS 220 kV,Poor,6.78,RED CLIFFS 220 kV,Very poor
73,KSF Project Nominees Pty Ltd as Trustee for the KSF Project Trust ,Kiamal Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-150,1.333,Y,KIAMSF1,239,200,40,Kiamal ,-34.9956336,142.3157549,1,2.92,KIAMAL 220 kV,Very poor,2.92,KIAMAL 220 kV,Very poor,2.92,KIAMAL 220 kV,Very poor
74,Kiata Wind Farm Pty Ltd,Kiata Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Sep,3.45,N,KIATAWF1,31.05,31,37,Kiata ,-36.3628945,141.7921237,1,48.01,MURRA WARRA 220 kV,Very poor,48.01,MURRA WARRA 220 kV,Very poor,48.01,MURRA WARRA 220 kV,Very poor
75,Genex (Solar) Pty Ltd,Kidston Solar Project,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-20,2.385,Y,KSP1,50,47.7,10,Kidston ,-19.0361744,144.1233429,1,18.09,KIDSTON 132 kV,Very poor,18.09,KIDSTON 132 kV,Very poor,18.09,KIDSTON 132 kV,Very poor
76,Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 2 Windfarm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-53,3,N,LKBONNY2,159,159,32,Lake Bonney Stage 2 ,-37.7782783,140.3550945,1,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Poor
77,Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 3 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,3,N,LKBONNY3,39,39,32,Lake Bonney Stage 3 ,-37.7782783,140.3550945,1,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Poor
78,Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Farm Stage 1,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-46,1.75,N,LKBONNY1,80.5,81,,Lake Bonney ,-37.7782783,140.3550945,1,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Very poor,13.79,SNUGGERY 132 kV,Poor
79,Ergon Energy Queensland Pty Ltd ,Lilyvale Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-74,1.35,Y,LILYSF1,118,100,20,Lilyvale ,-27.4316695,151.8732436,1,22.47,MIDDLE RIDGE 275 kV,Poor,22.47,MIDDLE RIDGE 275 kV,Very poor,22.47,MIDDLE RIDGE 275 kV,Neutral
80,Limondale Sun Farm Pty Ltd,Limondale Solar Farm 1,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-100,2.2,Y,LIMOSF11,275,220,44,Limondale ,-34.79,143.5,1,2.8,BALRANALD 220 kV,Very poor,2.8,BALRANALD 220 kV,Very poor,2.8,BALRANALD 220 kV,Very poor
81,Limondale Sun Farm Pty Ltd,Limondale Solar Farm 2,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-14,2.07,Y,LIMOSF21,38,29,6,Limondale ,-34.79,143.5,1,2.8,BALRANALD 220 kV,Very poor,2.8,BALRANALD 220 kV,Very poor,2.8,BALRANALD 220 kV,Very poor
82,Lincoln Gap Wind Farm (Operations) Pty Ltd,Lincoln Gap Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-59,3.6,Y,LGAPWF1,212.4,212.4,0,Lincoln Gap ,-32.5555237,137.5374352,1,8.83,CORRABERRA HILL 275 kV,Very poor,8.83,CORRABERRA HILL 275 kV,Very poor,8.83,CORRABERRA HILL 275 kV,Very poor
83,Diamond Energy Pty Ltd,Longreach Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,2,Y,LRSF1,17,14,1000,Longreach ,-23.8751875,143.9131051,1,146.92,BARCALDINE 132 kV,Very poor,146.92,BARCALDINE 132 kV,Very poor,146.92,BARCALDINE 132 kV,Very poor
84,AGL Hydro Partnership,Macarthur Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-140,3,N,MACARTH1,420,420,90,Macarthur ,-34.0719861,150.7971899,1,3.21,MACARTHUR 330 kV,High,3.21,MACARTHUR 330 kV,High,3.21,MACARTHUR 330 kV,High
85,Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,Manildra solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Oct,2.5,Y,MANSLR1,50,46,46,Manildra solar Farm,-33.183333,148.683333,1,57.34,PARKES 132 kV,Poor,57.34,PARKES 132 kV,Poor,57.34,PARKES 132 kV,Poor
86,Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,Manildra solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Nov-20,2.5,Y,MANSLR1,-,-,-,Manildra solar Farm,-33.183333,148.683333,1,57.34,PARKES 132 kV,Poor,57.34,PARKES 132 kV,Poor,57.34,PARKES 132 kV,Poor
87,Alinta Energy Retail Sales Pty Ltd,Maroona Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,3.4,Y,MAROOWF1,6.8,6,4,Maroona ,-37.4398128,142.8597202,1,43.98,CROWLANDS 220 kV,Very poor,43.98,CROWLANDS 220 kV,Very poor,43.98,CROWLANDS 220 kV,Very poor
88,Diamond Energy Pty Ltd,Maryrorough Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,2.25,Y,MARYRSF1,33,27,6,Maryrorough ,-26.8422,150.7883,1,9.39,KOGAN CREEK 275 kV,High,9.39,KOGAN CREEK 275 kV,Neutral,9.39,KOGAN CREEK 275 kV,High
89,Molong Operationsco Pty Ltd as trustee of the Molong Operations Trust,Molong Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,1.364,Y,      MOLNGSF1,36,30,6,Molong ,-33.0923817,148.8638613,1,63.53,WELLINGTON 330 kV,Neutral,63.53,WELLINGTON 330 kV,Neutral,63.53,WELLINGTON 330 kV,Neutral
90,Moree Solar Farm Pty Ltd,Moree Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-56,1.019,N,MOREESF1,57.064,56,60,Moree ,-29.4617202,149.8407153,1,95.19,NARRABRI 132 kV,Poor,95.19,NARRABRI 132 kV,Poor,95.19,NARRABRI 132 kV,Poor
91,Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,1.5,N,MLWF1,19.5,20,0,Mortons Lane ,-34.1793073,147.6413135,1,115.78,WAGGA 330 kV,Neutral,115.78,WAGGA 330 kV,High,115.78,WAGGA 330 kV,High
92,Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-37,3.45,N,MEWF1,127.65,126.05,159,Mount Emerald ,-17.2038889,145.4061111,1,45.94,WOREE 275 kV,Poor,45.94,WOREE 275 kV,Very poor,45.94,WOREE 275 kV,Very poor
93,Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 38-53,3.3,N,MEWF1,52.8,52.15,159,Mount Emerald ,-17.2038889,145.4061111,1,45.94,WOREE 275 kV,Poor,45.94,WOREE 275 kV,Very poor,45.94,WOREE 275 kV,Very poor
94,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-14,3.136,Y,MTGELWF1,43.904,66,400/200,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
95,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 19-26,3.136,Y,MTGELWF1,25.088,-,-,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
96,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 15-18,3.136,Y,MTGELWF1,12.544,66,400/200,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
97,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 27-35,3.136,Y,MTGELWF1,28.224,-,-,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
98,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 38-40,3.136,Y,MTGELWF1,9.408,-,-,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
99,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 42-47,3.136,Y,MTGELWF1,18.816,-,-,Mt Gellibrand ,-38.23347,143.79238,1,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor,38.46,BERRYBANK 220 kV,Very poor
100,Mt Mercer Windfarm Pty Ltd,Mt Mercer Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-64,2.05,N,MERCER01,131.2,131,33,Mt Mercer ,-42.4831636,147.2873231,1,38.34,LINDISFARNE 220 kV,Neutral,38.34,LINDISFARNE 220 kV,Neutral,38.34,LINDISFARNE 220 kV,Neutral
101,Mt Millar Wind Farm Pty Ltd,Mt Millar Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,2,N,MTMILLAR,70,70,,Mt Millar ,-20.7519616,148.5577955,1,65.57,PIONEER VALLEY 132 kV,Neutral,65.57,PIONEER VALLEY 132 kV,Neutral,65.57,PIONEER VALLEY 132 kV,Neutral
102,Mugga Lane Solar Park Pty Ltd,Mugga Lane Solar Park,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1,12,Y,MLSP1,12,12,0,Mugga Lane ,-35.390303,149.1364047,1,21.69,WILLIAMSDALE 330 kV,High,21.69,WILLIAMSDALE 330 kV,High,21.69,WILLIAMSDALE 330 kV,High
103,Telstra Energy (Generation) Pty Ltd,Murra Warra Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-61,3.7,Y,MUWAWF1,231.8,225.7,45,Murra Warra ,-36.4364125,142.24662,1,6.7,MURRA WARRA 220 kV,Very poor,6.7,MURRA WARRA 220 kV,Very poor,6.7,MURRA WARRA 220 kV,Very poor
104,Hydro-Electric Corporation,Musselroe Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-56,3,N,MUSSELR1,168,168,168,Musselroe ,-40.806599,148.0371745,1,41.01,DERBY 110 kV,Very poor,41.01,DERBY 110 kV,Very poor,41.01,DERBY 110 kV,Very poor
105,Dubbo Solar Hub Pty Ltd,Narromine Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Apr,2.5,N,NASF1,10,9,0,Narromine ,-32.2317016,147.9528517,1,63.65,DUBBO 132 kV,Poor,63.65,DUBBO 132 kV,Poor,63.65,DUBBO 132 kV,Poor
106,Elliott Nevertire Solar Pty Ltd as Trustee for the Elliott Nevertire Trust,Nevertire Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-48,2.18,N,NEVERSF1,132,105,0,Nevertire ,-31.8370998,147.7179629,1,57.45,NYNGAN 132 kV,Very poor,57.45,NYNGAN 132 kV,Very poor,57.45,NYNGAN 132 kV,Very poor
107,AGL SA Generation Pty Limited,North Brown Hill Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-63,2.1,N,NBHWF1,132.3,132,30,North Brown Hill ,-35.3266316,148.9862309,1,12.03,CANBERRA 330 kV,High,12.03,CANBERRA 330 kV,High,12.03,CANBERRA 330 kV,High
